0149-1423;AAPG BULLETIN (PRINT);A1
1069-6563;ACADEMIC EMERGENCY MEDICINE;A1
1040-2446;ACADEMIC MEDICINE;A1
0001-4575;ACCIDENT ANALYSIS AND PREVENTION;A1
0951-3574;ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL;A1
0001-4842;ACCOUNTS OF CHEMICAL RESEARCH;A1
0360-0300;ACM COMPUTING SURVEYS;A1
0734-2071;ACM TRANSACTIONS ON COMPUTER SYSTEMS;A1
1946-6226;ACM TRANSACTIONS ON COMPUTING EDUCATION;A1
0730-0301;ACM TRANSACTIONS ON GRAPHICS;A1
1046-8188;ACM TRANSACTIONS ON INFORMATION SYSTEMS;A1
1556-4681;ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA;A1
1944-8252;ACS APPLIED MATERIALS & INTERFACES (ONLINE);A1
2155-5435;ACS CATALYSIS;A1
2374-7951;ACS CENTRAL SCIENCE (ONLINE);A1
1554-8929;ACS CHEMICAL BIOLOGY;A1
1554-8937;ACS CHEMICAL BIOLOGY;A1
1948-7193;ACS CHEMICAL NEUROSCIENCE;A1
2373-8227;ACS INFECTIOUS DISEASES;A1
2161-1653;ACS MACRO LETTERS;A1
1936-0851;ACS NANO;A1
2379-3694;ACS SENSORS;A1
2168-0485;ACS SUSTAINABLE CHEMISTRY & ENGINEERING;A1
2161-5063;ACS SYNTHETIC BIOLOGY;A1
0094-5765;ACTA ASTRONAUTICA;A1
0001-5237;ACTA ASTRONOMICA;A1
1742-7061;ACTA BIOMATERIALIA;A1
2052-5206;ACTA CRYSTALLOGRAPHICA SECTION B;A1
1359-6454;ACTA MATERIALIA (OXFORD);A1
0001-5962;ACTA MATHEMATICA;A1
0001-6322;ACTA NEUROPATHOLOGICA;A1
2051-5960;ACTA NEUROPATHOLOGICA COMMUNICATIONS;A1
1745-3674;ACTA ORTHOPAEDICA (PRINT);A1
2211-3835;ACTA PHARMACEUTICA SINICA B;A1
1748-1716;ACTA PHYSIOLOGICA (ONLINE);A1
0186-6028;ACTA SOCIOLOGICA;A1
0001-706X;ACTA TROPICA;A1
0335-5322;ACTES DE LA RECHERCHE EN SCIENCES SOCIALES;A1
2270-4957;ACTES SÉMIOTIQUES (EN LIGNE);A1
0965-2140;ADDICTION (ABINGDON. PRINT);A1
1355-6215;ADDICTION BIOLOGY (PRINT);A1
1940-0640;ADDICTION SCIENCE & CLINICAL PRACTICE;A1
0306-4603;ADDICTIVE BEHAVIORS;A1
0894-587X;ADMINISTRATION AND POLICY IN MENTAL HEALTH;A1
0001-8392;ADMINISTRATIVE SCIENCE QUARTERLY;A1
1474-0346;ADVANCED ENGINEERING INFORMATICS;A1
1438-1656;ADVANCED ENGINEERING MATERIALS (PRINT);A1
1616-301X;ADVANCED FUNCTIONAL MATERIALS (PRINT);A1
2192-2659;ADVANCED HEALTHCARE MATERIALS;A1
1521-4095;ADVANCED MATERIALS (ONLINE);A1
0935-9648;ADVANCED MATERIALS (WEINHEIM PRINT);A1
2195-1071;ADVANCED OPTICAL MATERIALS;A1
1615-4150;ADVANCED SYNTHESIS & CATALYSIS (PRINT);A1
0065-2113;ADVANCES IN AGRONOMY;A1
2212-4926;ADVANCES IN BIOLOGICAL REGULATION;A1
1864-8258;ADVANCES IN CALCULUS OF VARIATIONS;A1
1864-8266;ADVANCES IN CALCULUS OF VARIATIONS;A1
0065-2423;ADVANCES IN CLINICAL CHEMISTRY;A1
0001-8686;ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT);A1
0895-9374;ADVANCES IN DENTAL RESEARCH;A1
1544-0737;ADVANCES IN DENTAL RESEARCH (ONLINE);A1
1079-9389;ADVANCES IN DIFFERENTIAL EQUATIONS;A1
0065-2504;ADVANCES IN ECOLOGICAL RESEARCH;A1
0965-9978;ADVANCES IN ENGINEERING SOFTWARE;A1
1382-4996;ADVANCES IN HEALTH SCIENCES EDUCATION;A1
0001-8708;ADVANCES IN MATHEMATICS (NEW YORK. 1965);A1
1898-4002;ADVANCES IN MEDICAL SCIENCES;A1
2156-5376;ADVANCES IN NUTRITION;A1
1943-8206;ADVANCES IN OPTICS AND PHOTONICS;A1
0065-308X;ADVANCES IN PARASITOLOGY;A1
1095-0761;ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS (PRINT);A1
0309-1708;ADVANCES IN WATER RESOURCES;A1
2162-1934;ADVANCES IN WOUND CARE;A1
1270-9638;AEROSPACE SCIENCE AND TECHNOLOGY (IMPRIMÉ);A1
0002-0206;AFRICAN STUDIES REVIEW;A1
0002-0729;AGE AND AGEING;A1
0144-686X;AGEING AND SOCIETY (PRINT);A1
1568-1637;AGEING RESEARCH REVIEWS (PRINT);A1
0096-140X;AGGRESSIVE BEHAVIOR (PRINT);A1
1360-7863;AGING & MENTAL HEALTH (PRINT);A1
1945-4589;AGING (ALBANY);A1
2152-5250;AGING AND DISEASE;A1
1474-9718;AGING CELL (PRINT);A1
0874-5498;ÁGORA (AVEIRO);A1
0308-521X;AGRICULTURAL SYSTEMS;A1
0378-3774;AGRICULTURAL WATER MANAGEMENT (PRINT);A1
0167-8809;AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT);A1
1774-0746;AGRONOMY FOR SUSTAINABLE DEVELOPMENT;A1
0001-1452;AIAA JOURNAL (PRINT);A1
0001-1541;AICHE JOURNAL;A1
0269-9370;AIDS (LONDON);A1
1573-3254;AIDS AND BEHAVIOR (DORDRECHT. ONLINE);A1
1087-2914;AIDS PATIENT CARE AND STDS;A1
0735-0414;ALCOHOL AND ALCOHOLISM (OXFORD);A1
1807-0299;ALEA : ESTUDOS NEOLATINOS (ONLINE);A1
1517-106X;ALEA. ESTUDOS NEOLATINOS;A1
1981-5794;ALFA: REVISTA DE LINGUÍSTICA (UNESP. ONLINE);A1
2211-9264;ALGAL RESEARCH;A1
1937-0652;ALGEBRA & NUMBER THEORY;A1
0269-2813;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;A1
1365-2036;ALIMENTARY PHARMACOLOGY THERAPEUTICS;A1
0105-4538;ALLERGY (COPENHAGEN);A1
2236-4633;ALMANACK;A1
1868-596X;ALTERNATIVES TO ANIMAL EXPERIMENTATION;A1
0893-0341;ALZHEIMER DISEASE AND ASSOCIATED DISORDERS;A1
1552-5260;ALZHEIMER'S & DEMENTIA;A1
1758-9193;ALZHEIMER'S RESEARCH & THERAPY;A1
1809-4422;AMBIENTE & SOCIEDADE (ONLINE);A1
