01491423;AAPG BULLETIN (PRINT);A1
10696563;ACADEMIC EMERGENCY MEDICINE;A1
10402446;ACADEMIC MEDICINE;A1
00014575;ACCIDENT ANALYSIS AND PREVENTION;A1
09513574;ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL;A1
00014842;ACCOUNTS OF CHEMICAL RESEARCH;A1
03600300;ACM COMPUTING SURVEYS;A1
07342071;ACM TRANSACTIONS ON COMPUTER SYSTEMS;A1
19466226;ACM TRANSACTIONS ON COMPUTING EDUCATION;A1
07300301;ACM TRANSACTIONS ON GRAPHICS;A1
10468188;ACM TRANSACTIONS ON INFORMATION SYSTEMS;A1
15564681;ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA;A1
19448252;ACS APPLIED MATERIALS & INTERFACES (ONLINE);A1
21555435;ACS CATALYSIS;A1
23747951;ACS CENTRAL SCIENCE (ONLINE);A1
15548929;ACS CHEMICAL BIOLOGY;A1
15548937;ACS CHEMICAL BIOLOGY;A1
19487193;ACS CHEMICAL NEUROSCIENCE;A1
23738227;ACS INFECTIOUS DISEASES;A1
21611653;ACS MACRO LETTERS;A1
19360851;ACS NANO;A1
23793694;ACS SENSORS;A1
21680485;ACS SUSTAINABLE CHEMISTRY & ENGINEERING;A1
21615063;ACS SYNTHETIC BIOLOGY;A1
00945765;ACTA ASTRONAUTICA;A1
00015237;ACTA ASTRONOMICA;A1
17427061;ACTA BIOMATERIALIA;A1
20525206;ACTA CRYSTALLOGRAPHICA SECTION B;A1
13596454;ACTA MATERIALIA (OXFORD);A1
00015962;ACTA MATHEMATICA;A1
00016322;ACTA NEUROPATHOLOGICA;A1
20515960;ACTA NEUROPATHOLOGICA COMMUNICATIONS;A1
17453674;ACTA ORTHOPAEDICA (PRINT);A1
22113835;ACTA PHARMACEUTICA SINICA B;A1
17481716;ACTA PHYSIOLOGICA (ONLINE);A1
01866028;ACTA SOCIOLOGICA;A1
0001706X;ACTA TROPICA;A1
03355322;ACTES DE LA RECHERCHE EN SCIENCES SOCIALES;A1
22704957;ACTES SÉMIOTIQUES (EN LIGNE);A1
09652140;ADDICTION (ABINGDON. PRINT);A1
13556215;ADDICTION BIOLOGY (PRINT);A1
19400640;ADDICTION SCIENCE & CLINICAL PRACTICE;A1
03064603;ADDICTIVE BEHAVIORS;A1
0894587X;ADMINISTRATION AND POLICY IN MENTAL HEALTH;A1
00018392;ADMINISTRATIVE SCIENCE QUARTERLY;A1
14740346;ADVANCED ENGINEERING INFORMATICS;A1
14381656;ADVANCED ENGINEERING MATERIALS (PRINT);A1
1616301X;ADVANCED FUNCTIONAL MATERIALS (PRINT);A1
21922659;ADVANCED HEALTHCARE MATERIALS;A1
15214095;ADVANCED MATERIALS (ONLINE);A1
09359648;ADVANCED MATERIALS (WEINHEIM PRINT);A1
21951071;ADVANCED OPTICAL MATERIALS;A1
16154150;ADVANCED SYNTHESIS & CATALYSIS (PRINT);A1
00652113;ADVANCES IN AGRONOMY;A1
22124926;ADVANCES IN BIOLOGICAL REGULATION;A1
18648258;ADVANCES IN CALCULUS OF VARIATIONS;A1
18648266;ADVANCES IN CALCULUS OF VARIATIONS;A1
00652423;ADVANCES IN CLINICAL CHEMISTRY;A1
00018686;ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT);A1
08959374;ADVANCES IN DENTAL RESEARCH;A1
15440737;ADVANCES IN DENTAL RESEARCH (ONLINE);A1
10799389;ADVANCES IN DIFFERENTIAL EQUATIONS;A1
00652504;ADVANCES IN ECOLOGICAL RESEARCH;A1
09659978;ADVANCES IN ENGINEERING SOFTWARE;A1
13824996;ADVANCES IN HEALTH SCIENCES EDUCATION;A1
00018708;ADVANCES IN MATHEMATICS (NEW YORK. 1965);A1
18984002;ADVANCES IN MEDICAL SCIENCES;A1
21565376;ADVANCES IN NUTRITION;A1
19438206;ADVANCES IN OPTICS AND PHOTONICS;A1
0065308X;ADVANCES IN PARASITOLOGY;A1
10950761;ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS (PRINT);A1
03091708;ADVANCES IN WATER RESOURCES;A1
21621934;ADVANCES IN WOUND CARE;A1
12709638;AEROSPACE SCIENCE AND TECHNOLOGY (IMPRIMÉ);A1
00020206;AFRICAN STUDIES REVIEW;A1
00020729;AGE AND AGEING;A1
0144686X;AGEING AND SOCIETY (PRINT);A1
15681637;AGEING RESEARCH REVIEWS (PRINT);A1
0096140X;AGGRESSIVE BEHAVIOR (PRINT);A1
13607863;AGING & MENTAL HEALTH (PRINT);A1
19454589;AGING (ALBANY);A1
21525250;AGING AND DISEASE;A1
14749718;AGING CELL (PRINT);A1
08745498;ÁGORA (AVEIRO);A1
0308521X;AGRICULTURAL SYSTEMS;A1
03783774;AGRICULTURAL WATER MANAGEMENT (PRINT);A1
01678809;AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT);A1
17740746;AGRONOMY FOR SUSTAINABLE DEVELOPMENT;A1
00011452;AIAA JOURNAL (PRINT);A1
00011541;AICHE JOURNAL;A1
02699370;AIDS (LONDON);A1
15733254;AIDS AND BEHAVIOR (DORDRECHT. ONLINE);A1
10872914;AIDS PATIENT CARE AND STDS;A1
07350414;ALCOHOL AND ALCOHOLISM (OXFORD);A1
18070299;ALEA : ESTUDOS NEOLATINOS (ONLINE);A1
1517106X;ALEA. ESTUDOS NEOLATINOS;A1
19815794;ALFA: REVISTA DE LINGUÍSTICA (UNESP. ONLINE);A1
22119264;ALGAL RESEARCH;A1
19370652;ALGEBRA & NUMBER THEORY;A1
02692813;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;A1
13652036;ALIMENTARY PHARMACOLOGY THERAPEUTICS;A1
01054538;ALLERGY (COPENHAGEN);A1
22364633;ALMANACK;A1
1868596X;ALTERNATIVES TO ANIMAL EXPERIMENTATION;A1
08930341;ALZHEIMER DISEASE AND ASSOCIATED DISORDERS;A1
15525260;ALZHEIMER'S & DEMENTIA;A1
17589193;ALZHEIMER'S RESEARCH & THERAPY;A1
18094422;AMBIENTE & SOCIEDADE (ONLINE);A1
00447447;AMBIO (OSLO);A1
11302887;AMÉRICA LATINA HOY;A1
00027294;AMERICAN ANTHROPOLOGIST;A1
19457782;AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS;A1
19457669;AMERICAN ECONOMIC JOURNAL: MICROECONOMICS;A1
11750561;AMERICAN JOURNAL OF CLINICAL DERMATOLOGY;A1
